All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : alb_e3.fasta
SeqY filename        : gam_e3.fasta
SeqX name            : e3
SeqY name            : e3
SeqX length          : 33601328
SeqY length          : 49364325
Min.fragment.length  : 200
Min.Identity         : 65
Tot Hits (seeds)     : 427176
Tot Hits (seeds) used: 425168
Total fragments      : 990
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,7052484,48894583,7052825,48894924,f,0,342,976,293,0.71,0.86,0,0
Frag,10195897,48916619,10196133,48916855,f,0,237,804,219,0.85,0.92,0,0
Frag,10195561,48916249,10195820,48916508,f,0,260,840,235,0.81,0.90,0,0
Frag,10970457,46202691,10971055,46203289,f,0,599,1700,512,0.71,0.85,0,0
Frag,10565607,45706554,10565869,45706816,f,0,263,916,246,0.87,0.94,0,0
Frag,10555837,45696149,10556083,45696395,f,0,247,732,215,0.74,0.87,0,0
Frag,10514412,45646261,10514729,45646578,f,0,318,984,282,0.77,0.89,0,0
Frag,10513048,45644888,10513706,45645546,f,0,659,2252,611,0.85,0.93,0,0
Frag,10513806,45645604,10514114,45645912,f,0,309,996,279,0.81,0.90,0,0
Frag,10511270,45643051,10511846,45643627,f,0,577,1908,527,0.83,0.91,0,0
Frag,10466190,45587863,10466642,45588315,f,0,453,1484,412,0.82,0.91,0,0
Frag,10897682,46009001,10898396,46009715,f,0,715,2052,614,0.72,0.86,0,0
Frag,10881996,45992088,10882218,45992310,f,0,223,684,197,0.77,0.88,0,0
Frag,10928705,46038173,10929681,46039149,f,0,977,2892,850,0.74,0.87,0,0
Frag,10917905,46027041,10918640,46027776,f,0,736,1960,613,0.67,0.83,0,0
Frag,10949720,46058039,10950667,46058986,f,0,948,2608,800,0.69,0.84,0,0
Frag,10951993,46060291,10952333,46060631,f,0,341,1068,304,0.78,0.89,0,0
Frag,10877578,45983324,10877801,45983547,f,0,224,632,191,0.71,0.85,0,0
Frag,10832814,45920841,10833141,45921168,f,0,328,1128,305,0.86,0.93,0,0
Frag,10828172,45914464,10828631,45914923,f,0,460,1576,427,0.86,0.93,0,0
Frag,10828705,45914981,10828925,45915201,f,0,221,780,208,0.88,0.94,0,0
Frag,10808248,45893635,10808501,45893888,f,0,254,872,236,0.86,0.93,0,0
Frag,10788461,45871579,10788776,45871894,f,0,316,1008,284,0.80,0.90,0,0
Frag,10773550,45855703,10773750,45855903,f,0,201,684,186,0.85,0.93,0,0
Frag,10773183,45855306,10773476,45855599,f,0,294,1064,280,0.90,0.95,0,0
Frag,10771786,45853579,10772048,45853841,f,0,263,924,247,0.88,0.94,0,0
Frag,10756364,45836538,10756611,45836785,f,0,248,864,232,0.87,0.94,0,0
Frag,5681997,40590044,5682338,40590385,f,0,342,896,283,0.65,0.83,0,0
Frag,5683096,40591090,5683873,40591867,f,0,778,2384,687,0.77,0.88,0,0
Frag,5680507,40588430,5680725,40588648,f,0,219,668,193,0.76,0.88,0,0
Frag,5923900,40829993,5924728,40830821,f,0,829,2812,766,0.85,0.92,0,0
Frag,5902001,40803694,5902237,40803930,f,0,237,764,214,0.81,0.90,0,0
Frag,5890971,40792434,5891318,40792781,f,0,348,1136,316,0.82,0.91,0,0
Frag,5833409,40733753,5834867,40735211,f,0,1459,4236,1259,0.73,0.86,0,0
Frag,5841184,40741096,5842224,40742136,f,0,1041,3028,899,0.73,0.86,0,0
Frag,5858433,40757564,5858932,40758063,f,0,500,1496,437,0.75,0.87,0,0
Frag,5859822,40758933,5860487,40759598,f,0,666,2008,584,0.75,0.88,0,0
Frag,5860555,40759662,5860787,40759894,f,0,233,684,202,0.73,0.87,0,0
Frag,8852982,36426076,8854222,36427316,f,0,1241,3516,1060,0.71,0.85,0,0
Frag,8300844,35819385,8301094,35819635,f,0,251,828,229,0.82,0.91,0,0
Frag,8218093,35732571,8218461,35732939,f,0,369,1092,321,0.74,0.87,0,0
Frag,8202821,35707726,8203038,35707943,f,0,218,696,196,0.80,0.90,0,0
Frag,8203118,35708011,8203620,35708513,f,0,503,1652,458,0.82,0.91,0,0
Frag,20237732,47191854,20239025,47193147,f,0,1294,4088,1158,0.79,0.89,0,0
Frag,20227438,47180437,20230186,47183185,f,0,2749,8388,2423,0.76,0.88,0,0
Frag,20230896,47183876,20231668,47184648,f,0,773,2172,658,0.70,0.85,0,0
Frag,20231744,47184714,20232813,47185783,f,0,1070,2832,889,0.66,0.83,0,0
Frag,20206514,47154844,20206747,47155077,f,0,234,808,218,0.86,0.93,0,0
Frag,20198306,47143423,20198845,47143962,f,0,540,1688,481,0.78,0.89,0,0
Frag,20165657,47104049,20166019,47104411,f,0,363,1084,317,0.75,0.87,0,0
Frag,20166402,47104704,20166712,47105014,f,0,311,900,268,0.72,0.86,0,0
Frag,20168512,47106795,20168733,47107016,f,0,222,712,200,0.80,0.90,0,0
Frag,20053661,46974085,20054096,46974520,f,0,436,1200,368,0.69,0.84,0,0
Frag,20036678,46955455,20037201,46955978,f,0,524,1632,466,0.78,0.89,0,0
Frag,20016815,46930882,20017306,46931373,f,0,492,1480,431,0.75,0.88,0,0
Frag,20000940,46911990,20001414,46912464,f,0,475,1580,435,0.83,0.92,0,0
Frag,19988816,46899800,19989200,46900184,f,0,385,1060,325,0.69,0.84,0,0
