All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : atr_e5.fasta
SeqY filename        : gam_e5.fasta
SeqX name            : e5
SeqY name            : e5
SeqX length          : 37911302
SeqY length          : 41963435
Min.fragment.length  : 200
Min.Identity         : 65
Tot Hits (seeds)     : 133241
Tot Hits (seeds) used: 132215
Total fragments      : 478
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,9954010,41955302,9954299,41955591,f,0,290,832,249,0.72,0.86,0,0
Frag,7551285,23518668,7551618,23519001,f,0,334,960,287,0.72,0.86,0,0
Frag,9706174,24719919,9706376,24720121,f,0,203,660,184,0.81,0.91,0,0
Frag,7197272,21163708,7197727,21164163,f,0,456,1376,400,0.75,0.88,0,0
Frag,7198060,21164476,7198655,21165071,f,0,596,1784,521,0.75,0.87,0,0
Frag,7192719,21158972,7193195,21159448,f,0,477,1532,430,0.80,0.90,0,0
Frag,7170169,21136142,7170434,21136407,f,0,266,808,234,0.76,0.88,0,0
Frag,7219109,21184846,7219325,21185062,f,0,217,708,197,0.82,0.91,0,0
Frag,7221433,21187158,7221666,21187391,f,0,234,696,204,0.74,0.87,0,0
Frag,7190775,21155481,7191065,21155771,f,0,291,940,263,0.81,0.90,0,0
Frag,7191633,21156236,7192135,21156738,f,0,503,1644,457,0.82,0.91,0,0
Frag,7157373,21118721,7158572,21119920,f,0,1200,3224,1003,0.67,0.84,0,0
Frag,7155746,21116222,7156007,21116483,f,0,262,688,217,0.66,0.83,0,0
Frag,7153938,21114375,7154598,21115035,f,0,661,1908,569,0.72,0.86,0,0
Frag,7552774,21510770,7553214,21511210,f,0,441,1228,374,0.70,0.85,0,0
Frag,9240030,23195899,9240236,23196105,f,0,207,628,182,0.76,0.88,0,0
Frag,9028467,22983841,9028843,22984217,f,0,377,1212,340,0.80,0.90,0,0
Frag,8750400,22704534,8750710,22704844,f,0,311,932,272,0.75,0.87,0,0
Frag,7408378,21360442,7408669,21360733,f,0,292,816,248,0.70,0.85,0,0
Frag,7485818,21436542,7486065,21436789,f,0,248,752,218,0.76,0.88,0,0
Frag,7355578,21305596,7355925,21305943,f,0,348,1144,317,0.82,0.91,0,0
Frag,7500498,21449206,7502082,21450790,f,0,1585,5100,1430,0.80,0.90,0,0
Frag,7499031,21447691,7499853,21448513,f,0,823,2564,732,0.78,0.89,0,0
Frag,7499862,21448516,7500497,21449151,f,0,636,1720,533,0.68,0.84,0,0
Frag,7588671,21537050,7589072,21537451,f,0,402,1256,358,0.78,0.89,0,0
Frag,8888812,22829561,8889062,22829811,f,0,251,908,239,0.90,0.95,0,0
Frag,8882500,22820765,8882731,22820996,f,0,232,664,199,0.72,0.86,0,0
Frag,8100077,22033513,8100572,22034008,f,0,496,1392,422,0.70,0.85,0,0
Frag,8494896,22428238,8495945,22429287,f,0,1050,3264,933,0.78,0.89,0,0
Frag,8833057,22758152,8833464,22758559,f,0,408,1184,352,0.73,0.86,0,0
Frag,9086153,23010310,9086401,23010558,f,0,249,740,217,0.74,0.87,0,0
Frag,9087348,23011496,9087685,23011833,f,0,338,1000,294,0.74,0.87,0,0
Frag,8282126,22201752,8282365,22201991,f,0,240,680,205,0.71,0.85,0,0
Frag,8281607,22201188,8282011,22201592,f,0,405,1212,354,0.75,0.87,0,0
Frag,8280441,22200013,8281582,22201154,f,0,1142,3360,991,0.74,0.87,0,0
Frag,8019007,21924489,8019386,21924868,f,0,380,1168,336,0.77,0.88,0,0
Frag,7855310,21730282,7855527,21730499,f,0,218,584,182,0.67,0.83,0,0
Frag,7856058,21731000,7856636,21731578,f,0,579,1612,491,0.70,0.85,0,0
Frag,7788919,21659829,7790253,21661163,f,0,1335,4556,1237,0.85,0.93,0,0
Frag,7788224,21659131,7788915,21659822,f,0,692,2160,616,0.78,0.89,0,0
Frag,7824427,21691065,7824882,21691520,f,0,456,1336,395,0.73,0.87,0,0
Frag,7824954,21691584,7825458,21692088,f,0,505,1532,444,0.76,0.88,0,0
Frag,7827164,21693239,7828267,21694342,f,0,1104,3080,937,0.70,0.85,0,0
Frag,7826649,21692721,7827123,21693195,f,0,475,1428,416,0.75,0.88,0,0
Frag,7774338,21639700,7775198,21640560,f,0,861,2628,759,0.76,0.88,0,0
Frag,7781677,21646736,7782134,21647193,f,0,458,1424,407,0.78,0.89,0,0
Frag,7831520,21696568,7832091,21697139,f,0,572,1712,500,0.75,0.87,0,0
Frag,7775822,21640822,7776082,21641082,f,0,261,740,223,0.71,0.85,0,0
Frag,7773310,21636742,7773843,21637275,f,0,534,1632,471,0.76,0.88,0,0
Frag,7752828,21611892,7753077,21612141,f,0,250,736,217,0.74,0.87,0,0
Frag,7747407,21603957,7747644,21604194,f,0,238,672,203,0.71,0.85,0,0
Frag,7736930,21591289,7737160,21591519,f,0,231,772,212,0.84,0.92,0,0
Frag,7732988,21584330,7733219,21584561,f,0,232,680,201,0.73,0.87,0,0
Frag,9954048,21056710,9954298,21056960,f,0,251,780,223,0.78,0.89,0,0
Frag,19012245,26410116,19012906,26410777,f,0,662,1784,554,0.67,0.84,0,0
Frag,6058434,12801156,6058649,12801371,f,0,216,736,200,0.85,0.93,0,0
Frag,6058435,12796028,6058649,12796242,f,0,215,780,205,0.91,0.95,0,0
Frag,6058228,12795800,6058442,12796014,f,0,215,644,188,0.75,0.87,0,0
Frag,6515324,13221556,6515529,13221761,f,0,206,600,178,0.73,0.86,0,0
Frag,6524780,13230460,6524999,13230679,f,0,220,624,188,0.71,0.85,0,0
Frag,6464104,13158446,6464468,13158810,f,0,365,1036,312,0.71,0.85,0,0
Frag,6401906,13093933,6402147,13094174,f,0,242,712,210,0.74,0.87,0,0
Frag,6277266,12968982,6277632,12969348,f,0,367,1092,320,0.74,0.87,0,0
Frag,6419495,13108323,6419697,13108525,f,0,203,660,184,0.81,0.91,0,0
Frag,6212809,12885445,6213024,12885660,f,0,216,704,196,0.81,0.91,0,0
