All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : atr_e5.fasta
SeqY filename        : gam_e1.fasta
SeqX name            : atr_e5
SeqY name            : gam_e1
SeqX length          : 1000000
SeqY length          : 1000000
Min.fragment.length  : 200
Min.Identity         : 40
Tot Hits (seeds)     : 29541287
Tot Hits (seeds) used: 29538724
Total fragments      : 288
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,279546,570215,279749,570418,f,0,204,358,143,0.44,0.70,0,0
Frag,279467,8956,279668,8755,r,0,202,502,160,0.62,0.79,0,0
Frag,279529,8948,279733,8744,r,0,205,482,159,0.59,0.78,0,0
Frag,279481,17370,279685,17166,r,0,205,386,147,0.47,0.72,0,0
Frag,279484,17375,279693,17166,r,0,210,390,150,0.46,0.71,0,0
Frag,279483,17384,279701,17166,r,0,219,386,154,0.44,0.70,0,0
Frag,279500,17375,279709,17166,r,0,210,398,151,0.47,0.72,0,0
Frag,279493,17384,279714,17163,r,0,222,386,155,0.43,0.70,0,0
Frag,279499,17384,279710,17173,r,0,212,374,149,0.44,0.70,0,0
Frag,279468,19877,279679,19666,r,0,212,526,168,0.62,0.79,0,0
Frag,279474,19873,279681,19666,r,0,208,526,166,0.63,0.80,0,0
Frag,279476,19873,279683,19666,r,0,208,534,167,0.64,0.80,0,0
Frag,279480,19871,279685,19666,r,0,206,534,166,0.65,0.81,0,0
Frag,279482,19871,279687,19666,r,0,206,534,166,0.65,0.81,0,0
Frag,279479,19876,279689,19666,r,0,211,538,169,0.64,0.80,0,0
Frag,279479,19878,279691,19666,r,0,213,538,170,0.63,0.80,0,0
Frag,279479,19880,279693,19666,r,0,215,554,173,0.64,0.80,0,0
Frag,279479,19882,279695,19666,r,0,217,562,175,0.65,0.81,0,0
Frag,279474,19889,279697,19666,r,0,224,574,180,0.64,0.80,0,0
Frag,279476,19889,279699,19666,r,0,224,582,181,0.65,0.81,0,0
Frag,279480,19887,279701,19666,r,0,222,582,180,0.66,0.81,0,0
Frag,279473,19896,279703,19666,r,0,231,602,187,0.65,0.81,0,0
Frag,279474,19897,279719,19652,r,0,246,622,197,0.63,0.80,0,0
Frag,279473,19900,279707,19666,r,0,235,602,189,0.64,0.80,0,0
Frag,279473,19902,279709,19666,r,0,237,602,190,0.64,0.80,0,0
Frag,279474,19903,279711,19666,r,0,238,622,193,0.65,0.81,0,0
Frag,279473,19906,279705,19674,r,0,233,610,189,0.65,0.81,0,0
Frag,279482,19899,279714,19667,r,0,233,602,188,0.65,0.81,0,0
Frag,279476,19907,279709,19674,r,0,234,614,190,0.66,0.81,0,0
Frag,279480,19905,279711,19674,r,0,232,638,192,0.69,0.83,0,0
Frag,279482,19905,279711,19676,r,0,230,606,187,0.66,0.81,0,0
Frag,279479,19910,279714,19675,r,0,236,606,190,0.64,0.81,0,0
Frag,279479,19912,279714,19677,r,0,236,614,191,0.65,0.81,0,0
Frag,279479,19914,279714,19679,r,0,236,606,190,0.64,0.81,0,0
Frag,279479,19916,279714,19681,r,0,236,590,188,0.62,0.80,0,0
Frag,279479,19918,279714,19683,r,0,236,614,191,0.65,0.81,0,0
Frag,279479,19920,279725,19674,r,0,247,626,198,0.63,0.80,0,0
Frag,279479,19922,279726,19675,r,0,248,614,197,0.62,0.79,0,0
Frag,279481,19922,279714,19689,r,0,234,606,189,0.65,0.81,0,0
Frag,279480,19925,279714,19691,r,0,235,610,190,0.65,0.81,0,0
Frag,279482,19925,279726,19681,r,0,245,594,193,0.61,0.79,0,0
Frag,279484,19925,279710,19699,r,0,227,578,182,0.64,0.80,0,0
Frag,279486,19925,279711,19700,r,0,226,574,181,0.63,0.80,0,0
Frag,279488,19925,279725,19688,r,0,238,582,188,0.61,0.79,0,0
Frag,279490,19925,279726,19689,r,0,237,578,187,0.61,0.79,0,0
Frag,279492,19925,279726,19691,r,0,235,562,184,0.60,0.78,0,0
Frag,279498,19921,279726,19693,r,0,229,546,179,0.60,0.78,0,0
Frag,279499,19922,279714,19707,r,0,216,542,172,0.63,0.80,0,0
Frag,279497,19926,279714,19709,r,0,218,542,173,0.62,0.79,0,0
Frag,279500,19925,279727,19698,r,0,228,542,178,0.59,0.78,0,0
Frag,279502,19925,279726,19701,r,0,225,546,177,0.61,0.79,0,0
Frag,279504,19925,279726,19703,r,0,223,538,175,0.60,0.78,0,0
Frag,279506,19925,279726,19705,r,0,221,530,173,0.60,0.78,0,0
Frag,279508,19925,279726,19707,r,0,219,514,170,0.59,0.78,0,0
Frag,279510,19925,279726,19709,r,0,217,506,168,0.58,0.77,0,0
Frag,279516,19925,279727,19714,r,0,212,486,163,0.57,0.77,0,0
Frag,279518,19925,279726,19717,r,0,209,482,161,0.58,0.77,0,0
Frag,279520,19925,279726,19719,r,0,207,498,162,0.60,0.78,0,0
Frag,279522,19925,279726,19721,r,0,205,482,159,0.59,0.78,0,0
Frag,279476,31012,279676,30812,r,0,201,490,158,0.61,0.79,0,0
Frag,279480,31020,279680,30820,r,0,201,506,160,0.63,0.80,0,0
Frag,279482,31020,279682,30820,r,0,201,522,162,0.65,0.81,0,0
Frag,279479,31025,279684,30820,r,0,206,510,163,0.62,0.79,0,0
Frag,279479,31027,279686,30820,r,0,208,518,165,0.62,0.79,0,0
Frag,279473,31035,279688,30820,r,0,216,534,171,0.62,0.79,0,0
Frag,279474,31036,279690,30820,r,0,217,530,171,0.61,0.79,0,0
Frag,279482,31030,279692,30820,r,0,211,530,168,0.63,0.80,0,0
Frag,279484,31030,279694,30820,r,0,211,538,169,0.64,0.80,0,0
Frag,279479,31037,279696,30820,r,0,218,550,174,0.63,0.80,0,0
Frag,279479,31039,279698,30820,r,0,220,558,176,0.63,0.80,0,0
Frag,279480,31040,279700,30820,r,0,221,554,176,0.63,0.80,0,0
Frag,279479,31043,279702,30820,r,0,224,550,177,0.61,0.79,0,0
Frag,279480,31044,279704,30820,r,0,225,546,177,0.61,0.79,0,0
Frag,279482,31044,279719,30807,r,0,238,550,184,0.58,0.77,0,0
Frag,279484,31044,279708,30820,r,0,225,578,181,0.64,0.80,0,0
Frag,279486,31044,279710,30820,r,0,225,562,179,0.62,0.80,0,0
Frag,279488,31044,279707,30825,r,0,220,566,177,0.64,0.80,0,0
Frag,279490,31044,279715,30819,r,0,226,566,180,0.63,0.80,0,0
Frag,279492,31044,279713,30823,r,0,222,566,178,0.64,0.80,0,0
Frag,279494,31044,279711,30827,r,0,218,558,175,0.64,0.80,0,0
Frag,279500,31040,279714,30826,r,0,215,546,172,0.63,0.80,0,0
Frag,279494,31048,279710,30832,r,0,217,562,175,0.65,0.81,0,0
Frag,279500,31044,279711,30833,r,0,212,542,170,0.64,0.80,0,0
Frag,279502,31044,279716,30830,r,0,215,538,171,0.63,0.80,0,0
Frag,279504,31044,279714,30834,r,0,211,530,168,0.63,0.80,0,0
Frag,279506,31044,279725,30825,r,0,220,510,170,0.58,0.77,0,0
Frag,279508,31044,279726,30826,r,0,219,538,173,0.61,0.79,0,0
Frag,279475,31079,279711,30843,r,0,237,506,178,0.53,0.75,0,0
Frag,279516,31044,279726,30834,r,0,211,506,165,0.60,0.78,0,0
Frag,279476,31086,279714,30848,r,0,239,490,177,0.51,0.74,0,0
Frag,279489,31075,279714,30850,r,0,226,470,168,0.52,0.74,0,0
Frag,279491,31075,279725,30841,r,0,235,474,173,0.50,0.74,0,0
Frag,279493,31075,279710,30858,r,0,218,462,163,0.53,0.75,0,0
Frag,279524,31048,279727,30845,r,0,204,486,159,0.60,0.78,0,0
Frag,279520,31058,279726,30852,r,0,207,458,157,0.55,0.76,0,0
Frag,279479,31778,279679,31578,r,0,201,490,158,0.61,0.79,0,0
Frag,279479,31780,279681,31578,r,0,203,458,155,0.56,0.76,0,0
Frag,279481,31780,279683,31578,r,0,203,442,153,0.54,0.75,0,0
Frag,279479,31784,279685,31578,r,0,207,458,157,0.55,0.76,0,0
Frag,279479,31786,279687,31578,r,0,209,466,159,0.56,0.76,0,0
Frag,279479,31788,279689,31578,r,0,211,506,165,0.60,0.78,0,0
Frag,279479,31790,279691,31578,r,0,213,490,164,0.58,0.77,0,0
Frag,279481,31790,279693,31578,r,0,213,474,162,0.56,0.76,0,0
Frag,279479,31794,279695,31578,r,0,217,498,167,0.57,0.77,0,0
Frag,279479,31796,279722,31553,r,0,244,510,182,0.52,0.75,0,0
Frag,279479,31798,279699,31578,r,0,221,530,173,0.60,0.78,0,0
Frag,279479,31800,279701,31578,r,0,223,514,172,0.58,0.77,0,0
Frag,279481,31800,279703,31578,r,0,223,538,175,0.60,0.78,0,0
Frag,279479,31804,279705,31578,r,0,227,538,177,0.59,0.78,0,0
Frag,279479,31806,279707,31578,r,0,229,546,179,0.60,0.78,0,0
Frag,279479,31808,279719,31568,r,0,241,570,188,0.59,0.78,0,0
Frag,279479,31810,279713,31576,r,0,235,578,186,0.61,0.79,0,0
Frag,279481,31810,279704,31587,r,0,224,550,177,0.61,0.79,0,0
Frag,279479,31814,279706,31587,r,0,228,566,181,0.62,0.79,0,0
Frag,279479,31816,279708,31587,r,0,230,574,183,0.62,0.80,0,0
Frag,279479,31818,279710,31587,r,0,232,606,188,0.65,0.81,0,0
Frag,279479,31820,279711,31588,r,0,233,586,186,0.63,0.80,0,0
Frag,279481,31820,279714,31587,r,0,234,566,184,0.60,0.79,0,0
Frag,279479,31824,279725,31578,r,0,247,602,195,0.61,0.79,0,0
Frag,279479,31826,279726,31579,r,0,248,598,195,0.60,0.79,0,0
