All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : alb_e1.fasta
SeqY filename        : atr_e4.fasta
SeqX name            : alb_e1
SeqY name            : atr_e4
SeqX length          : 1000000
SeqY length          : 1000000
Min.fragment.length  : 200
Min.Identity         : 40
Tot Hits (seeds)     : 22756778
Tot Hits (seeds) used: 22755621
Total fragments      : 183
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,423503,118413,423738,118648,f,0,236,384,166,0.41,0.70,0,0
Frag,423503,118410,423742,118649,f,0,240,400,170,0.42,0.71,0,0
Frag,423503,118398,423744,118639,f,0,242,424,174,0.44,0.72,0,0
Frag,423503,118395,423768,118660,f,0,266,440,188,0.41,0.71,0,0
Frag,423539,118428,423742,118631,f,0,204,408,153,0.50,0.75,0,0
Frag,423539,118425,423763,118649,f,0,225,388,161,0.43,0.72,0,0
Frag,423539,118422,423765,118648,f,0,227,412,165,0.45,0.73,0,0
Frag,423539,118419,423739,118619,f,0,201,420,153,0.52,0.76,0,0
Frag,423539,118416,423783,118660,f,0,245,404,173,0.41,0.71,0,0
Frag,423539,118413,423768,118642,f,0,230,424,168,0.46,0.73,0,0
Frag,423539,118407,423744,118612,f,0,206,400,153,0.49,0.74,0,0
Frag,423539,118404,423744,118609,f,0,206,400,153,0.49,0.74,0,0
Frag,423539,118401,423801,118663,f,0,263,436,186,0.41,0.71,0,0
Frag,423539,118398,423798,118657,f,0,260,456,187,0.44,0.72,0,0
Frag,423539,118395,423744,118600,f,0,206,464,161,0.56,0.78,0,0
Frag,423539,118392,423741,118594,f,0,203,388,150,0.48,0.74,0,0
Frag,423563,118413,423801,118651,f,0,239,508,183,0.53,0.77,0,0
Frag,423539,118386,423798,118645,f,0,260,488,191,0.47,0.73,0,0
Frag,423539,118383,423799,118643,f,0,261,436,185,0.42,0.71,0,0
Frag,423563,118401,423768,118606,f,0,206,432,157,0.52,0.76,0,0
Frag,423563,118398,423796,118631,f,0,234,456,174,0.49,0.74,0,0
Frag,423563,118395,423802,118634,f,0,240,496,182,0.52,0.76,0,0
Frag,423563,118392,423799,118628,f,0,237,476,178,0.50,0.75,0,0
Frag,423563,118389,423789,118615,f,0,227,476,173,0.52,0.76,0,0
Frag,423563,118386,423795,118618,f,0,233,492,178,0.53,0.76,0,0
Frag,423563,118383,423802,118622,f,0,240,480,180,0.50,0.75,0,0
Frag,423563,118380,423799,118616,f,0,237,444,174,0.47,0.73,0,0
