All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : atr_e2.fasta
SeqY filename        : atr_e4.fasta
SeqX name            : atr_e2
SeqY name            : atr_e4
SeqX length          : 1000000
SeqY length          : 1000000
Min.fragment.length  : 200
Min.Identity         : 40
Tot Hits (seeds)     : 26234013
Tot Hits (seeds) used: 26232867
Total fragments      : 68
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,74326,887975,74638,888287,f,0,313,556,226,0.44,0.72,0,0
Frag,112851,775374,113073,775596,f,0,223,644,192,0.72,0.86,0,0
Frag,112480,752291,112707,752518,f,0,228,800,214,0.88,0.94,0,0
Frag,112715,670595,112978,670858,f,0,264,744,225,0.70,0.85,0,0
Frag,113167,670947,113376,671156,f,0,210,656,187,0.78,0.89,0,0
Frag,124673,674690,124905,674922,f,0,233,716,206,0.77,0.88,0,0
Frag,113128,646893,113395,647160,f,0,268,760,229,0.71,0.85,0,0
Frag,59132,504979,59412,505259,f,0,281,468,199,0.42,0.71,0,0
Frag,224227,391758,224632,392163,f,0,406,728,294,0.45,0.72,0,0
Frag,268923,334821,269123,335021,f,0,201,644,181,0.80,0.90,0,0
Frag,268714,334508,268923,334717,f,0,210,784,203,0.93,0.97,0,0
Frag,224223,160615,224632,161024,f,0,410,1224,358,0.75,0.87,0,0
Frag,243067,127714,243285,127932,f,0,219,612,186,0.70,0.85,0,0
Frag,268913,107939,269122,108148,f,0,210,696,192,0.83,0.91,0,0
Frag,268913,95510,269122,95719,f,0,210,696,192,0.83,0.91,0,0
Frag,472042,247394,472370,247722,f,0,329,676,249,0.51,0.76,0,0
Frag,268913,20966,269123,21176,f,0,211,636,185,0.75,0.88,0,0
Frag,722328,420870,722648,421190,f,0,321,1044,291,0.81,0.91,0,0
Frag,722328,419899,722648,420219,f,0,321,1044,291,0.81,0.91,0,0
Frag,472124,155892,472333,156101,f,0,210,720,195,0.86,0.93,0,0
Frag,608273,279078,608543,279348,f,0,271,892,247,0.82,0.91,0,0
Frag,721541,229164,721774,229397,f,0,234,856,224,0.91,0.96,0,0
Frag,939142,421505,939438,421801,f,0,297,804,249,0.68,0.84,0,0
Frag,978369,334514,978598,334743,f,0,230,856,222,0.93,0.97,0,0
Frag,722356,12188,722644,12476,f,0,289,812,246,0.70,0.85,0,0
Frag,930093,108248,930301,108456,f,0,209,668,188,0.80,0.90,0,0
Frag,978650,107937,978855,108142,f,0,206,688,189,0.83,0.92,0,0
Frag,978598,95456,978856,95714,f,0,259,868,238,0.84,0.92,0,0
Frag,929807,21005,930234,21432,f,0,428,920,329,0.54,0.77,0,0
Frag,978856,21213,979071,21428,f,0,216,744,201,0.86,0.93,0,0
Frag,978650,20964,978856,21170,f,0,207,644,184,0.78,0.89,0,0
Frag,268913,107538,269123,107328,r,0,211,692,192,0.82,0.91,0,0
Frag,240855,182913,241061,182707,r,0,207,804,204,0.97,0.99,0,0
Frag,438257,4048,438462,3843,r,0,206,504,166,0.61,0.81,0,0
Frag,285896,160949,286367,160478,r,0,472,1616,438,0.86,0.93,0,0
Frag,472124,56618,472370,56372,r,0,247,836,228,0.85,0.92,0,0
Frag,173115,367213,173331,366997,r,0,217,428,162,0.49,0.75,0,0
Frag,173534,366855,173787,366602,r,0,254,520,192,0.51,0.76,0,0
Frag,438221,229386,438468,229139,r,0,248,696,211,0.70,0.85,0,0
Frag,285896,392088,286241,391743,r,0,346,720,263,0.52,0.76,0,0
Frag,285655,392335,285897,392093,r,0,243,836,226,0.86,0.93,0,0
Frag,521000,161033,521345,160688,r,0,346,1224,326,0.88,0.94,0,0
Frag,472912,220159,473248,219823,r,0,337,604,244,0.45,0.72,0,0
Frag,472032,221229,472287,220974,r,0,256,888,239,0.87,0.93,0,0
Frag,472356,220976,472580,220752,r,0,225,748,206,0.83,0.92,0,0
Frag,129364,573941,129585,573720,r,0,222,648,192,0.73,0.86,0,0
Frag,552218,160725,552465,160478,r,0,248,856,231,0.86,0.93,0,0
Frag,551858,161086,552216,160728,r,0,359,1220,332,0.85,0.92,0,0
Frag,320731,392336,320970,392097,r,0,240,792,219,0.82,0.91,0,0
Frag,55210,674690,55486,674414,r,0,277,644,219,0.58,0.79,0,0
Frag,113128,671611,113395,671344,r,0,268,800,234,0.75,0.87,0,0
Frag,124675,674546,124911,674310,r,0,237,732,210,0.77,0.89,0,0
Frag,493666,313581,493888,313359,r,0,223,660,194,0.74,0.87,0,0
Frag,492934,314333,493134,314133,r,0,201,724,191,0.90,0.95,0,0
Frag,19340,812718,19552,812506,r,0,213,700,194,0.82,0.91,0,0
Frag,119040,752526,119269,752297,r,0,230,832,219,0.90,0.95,0,0
Frag,118807,775234,119022,775019,r,0,216,752,202,0.87,0.94,0,0
Frag,520996,392176,521345,391827,r,0,350,744,268,0.53,0.77,0,0
Frag,551748,392335,552216,391867,r,0,469,1116,374,0.59,0.80,0,0
Frag,128052,918445,128471,918026,r,0,420,1528,401,0.91,0.95,0,0
