All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : alb_e2.fasta
SeqY filename        : gam_e2.fasta
SeqX name            : alb_e2
SeqY name            : gam_e2
SeqX length          : 1000000
SeqY length          : 1000000
Min.fragment.length  : 200
Min.Identity         : 40
Tot Hits (seeds)     : 29570958
Tot Hits (seeds) used: 29570671
Total fragments      : 24
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,4136,520992,4774,521630,f,0,639,1084,455,0.42,0.71,0,0
Frag,14770,523145,15040,523415,f,0,271,476,195,0.44,0.72,0,0
Frag,13655,521663,14045,522053,f,0,391,708,284,0.45,0.73,0,0
Frag,22417,524575,22624,524782,f,0,208,352,148,0.42,0.71,0,0
Frag,310779,485240,310991,485452,f,0,213,444,162,0.52,0.76,0,0
Frag,310777,305741,311120,306084,f,0,344,712,261,0.52,0.76,0,0
Frag,735124,703604,735437,703917,f,0,314,504,220,0.40,0.70,0,0
Frag,310123,249747,310563,250187,f,0,441,1116,360,0.63,0.82,0,0
Frag,309809,249427,310114,249732,f,0,306,728,244,0.59,0.80,0,0
Frag,924978,758619,925180,758821,f,0,203,388,150,0.48,0.74,0,0
Frag,310777,289294,310987,289084,r,0,211,460,163,0.55,0.77,0,0
Frag,310124,290056,310563,289617,r,0,440,984,343,0.56,0.78,0,0
Frag,491191,127446,491477,127160,r,0,287,628,222,0.55,0.77,0,0
Frag,489176,129569,489757,128988,r,0,582,1264,449,0.54,0.77,0,0
Frag,488900,129852,489102,129650,r,0,203,492,163,0.61,0.80,0,0
Frag,310779,499770,310991,499558,r,0,213,444,162,0.52,0.76,0,0
Frag,310123,500531,310563,500091,r,0,441,1044,351,0.59,0.80,0,0
Frag,309751,500909,310114,500546,r,0,364,760,277,0.52,0.76,0,0
Frag,310777,507742,310991,507528,r,0,215,452,164,0.53,0.76,0,0
Frag,310832,703881,311118,703595,r,0,287,484,204,0.42,0.71,0,0
Frag,735125,306072,735411,305786,r,0,287,548,212,0.48,0.74,0,0
