All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : gam_e1.fasta
SeqY filename        : gam_e3.fasta
SeqX name            : gam_e1
SeqY name            : gam_e3
SeqX length          : 1000000
SeqY length          : 1000000
Min.fragment.length  : 200
Min.Identity         : 40
Tot Hits (seeds)     : 37357298
Tot Hits (seeds) used: 37351116
Total fragments      : 535
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,18994,948715,19216,948937,f,0,223,692,198,0.78,0.89,0,0
Frag,70748,948038,70978,948268,f,0,231,724,206,0.78,0.89,0,0
Frag,119354,985559,119669,985874,f,0,316,1080,293,0.85,0.93,0,0
Frag,29596,831727,29802,831933,f,0,207,516,168,0.62,0.81,0,0
Frag,29596,831699,29830,831933,f,0,235,596,192,0.63,0.82,0,0
Frag,29596,831697,29832,831933,f,0,237,604,194,0.64,0.82,0,0
Frag,29596,831695,29834,831933,f,0,239,620,197,0.65,0.82,0,0
Frag,29596,831693,29836,831933,f,0,241,620,198,0.64,0.82,0,0
Frag,29596,831691,29838,831933,f,0,243,628,200,0.65,0.82,0,0
Frag,29596,831689,29847,831940,f,0,252,648,207,0.64,0.82,0,0
Frag,29596,831687,29842,831933,f,0,247,644,204,0.65,0.83,0,0
Frag,29596,831685,29844,831933,f,0,249,652,206,0.65,0.83,0,0
Frag,29596,831683,29856,831943,f,0,261,676,215,0.65,0.82,0,0
Frag,29597,831682,29850,831935,f,0,254,664,210,0.65,0.83,0,0
Frag,29600,831683,29843,831926,f,0,244,656,204,0.67,0.84,0,0
Frag,29596,831677,29845,831926,f,0,250,672,209,0.67,0.84,0,0
Frag,29596,831675,29845,831924,f,0,250,664,208,0.66,0.83,0,0
Frag,29596,831673,29845,831922,f,0,250,664,208,0.66,0.83,0,0
Frag,29596,831671,29844,831919,f,0,249,676,209,0.68,0.84,0,0
Frag,29596,831669,29848,831921,f,0,253,676,211,0.67,0.83,0,0
Frag,29596,831667,29844,831915,f,0,249,676,209,0.68,0.84,0,0
Frag,29596,831665,29852,831921,f,0,257,692,215,0.67,0.84,0,0
Frag,29597,831664,29850,831917,f,0,254,680,212,0.67,0.83,0,0
Frag,29600,831665,29841,831906,f,0,242,680,206,0.70,0.85,0,0
Frag,29596,831659,29843,831906,f,0,248,696,211,0.70,0.85,0,0
Frag,29596,831657,29845,831906,f,0,250,696,212,0.70,0.85,0,0
Frag,29596,831655,29844,831903,f,0,249,700,212,0.70,0.85,0,0
Frag,29596,831653,29843,831900,f,0,248,712,213,0.72,0.86,0,0
Frag,29597,831652,29850,831905,f,0,254,720,217,0.71,0.85,0,0
Frag,29600,831653,29845,831898,f,0,246,704,211,0.72,0.86,0,0
Frag,29596,831647,29845,831896,f,0,250,712,214,0.71,0.86,0,0
Frag,29596,831645,29845,831894,f,0,250,704,213,0.70,0.85,0,0
Frag,29596,831643,29845,831892,f,0,250,704,213,0.70,0.85,0,0
Frag,29596,831641,29845,831890,f,0,250,712,214,0.71,0.86,0,0
Frag,29596,831639,29845,831888,f,0,250,704,213,0.70,0.85,0,0
Frag,29596,831637,29845,831886,f,0,250,704,213,0.70,0.85,0,0
Frag,29597,831636,29845,831884,f,0,249,708,213,0.71,0.86,0,0
Frag,29600,831637,29845,831882,f,0,246,696,210,0.71,0.85,0,0
Frag,29601,831636,29845,831880,f,0,245,692,209,0.71,0.85,0,0
Frag,29603,831636,29845,831878,f,0,243,692,208,0.71,0.86,0,0
Frag,29606,831637,29845,831876,f,0,240,680,205,0.71,0.85,0,0
Frag,29607,831636,29845,831874,f,0,239,676,204,0.71,0.85,0,0
Frag,29609,831636,29845,831872,f,0,237,676,203,0.71,0.86,0,0
Frag,29612,831637,29845,831870,f,0,234,664,200,0.71,0.85,0,0
Frag,29596,831619,29845,831868,f,0,250,672,209,0.67,0.84,0,0
Frag,29615,831636,29845,831866,f,0,231,660,198,0.71,0.86,0,0
Frag,29618,831637,29845,831864,f,0,228,648,195,0.71,0.86,0,0
Frag,29601,831618,29845,831862,f,0,245,660,205,0.67,0.84,0,0
Frag,29621,831636,29845,831860,f,0,225,644,193,0.72,0.86,0,0
