All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : alb_e3.fasta
SeqY filename        : atr_e3.fasta
SeqX name            : e3
SeqY name            : e3
SeqX length          : 33601328
SeqY length          : 41753967
Min.fragment.length  : 200
Min.Identity         : 65
Tot Hits (seeds)     : 299428
Tot Hits (seeds) used: 298060
Total fragments      : 704
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,2659277,35606414,2660219,35607356,f,0,943,2852,828,0.76,0.88,0,0
Frag,2647643,35593859,2648987,35595203,f,0,1345,3780,1145,0.70,0.85,0,0
Frag,2645065,35591274,2645461,35591670,f,0,397,1172,345,0.74,0.87,0,0
Frag,2643940,35589844,2644348,35590252,f,0,409,1068,338,0.65,0.83,0,0
Frag,2640644,35586206,2641033,35586595,f,0,390,1256,352,0.81,0.90,0,0
Frag,7763552,35775085,7763926,35775459,f,0,375,1044,318,0.70,0.85,0,0
Frag,7775328,35786122,7775557,35786351,f,0,230,744,208,0.81,0.90,0,0
Frag,7775022,35785787,7775256,35786021,f,0,235,764,213,0.81,0.91,0,0
Frag,7801879,35811945,7802192,35812258,f,0,314,960,277,0.76,0.88,0,0
Frag,7800302,35809886,7800791,35810375,f,0,490,1320,410,0.67,0.84,0,0
Frag,7812010,35820124,7812251,35820365,f,0,242,704,209,0.73,0.86,0,0
Frag,7722493,35727519,7722706,35727732,f,0,214,632,186,0.74,0.87,0,0
Frag,7845312,35848689,7845841,35849218,f,0,530,1384,438,0.65,0.83,0,0
Frag,7843633,35846785,7843915,35847067,f,0,283,812,243,0.72,0.86,0,0
Frag,7862196,35862793,7863301,35863898,f,0,1106,3400,978,0.77,0.88,0,0
Frag,7864030,35864264,7866304,35866538,f,0,2275,6492,1949,0.71,0.86,0,0
Frag,7867729,35867930,7868018,35868219,f,0,290,872,254,0.75,0.88,0,0
Frag,7881702,35880890,7882532,35881720,f,0,831,2500,728,0.75,0.88,0,0
Frag,11051406,38846896,11051716,38847206,f,0,311,924,271,0.74,0.87,0,0
Frag,11045804,38840570,11046111,38840877,f,0,308,1000,279,0.81,0.91,0,0
Frag,11046204,38840969,11046536,38841301,f,0,333,1012,293,0.76,0.88,0,0
Frag,10995821,38783190,10996113,38783482,f,0,293,844,252,0.72,0.86,0,0
Frag,10996496,38783857,10996726,38784087,f,0,231,748,209,0.81,0.90,0,0
Frag,10974967,38760021,10975752,38760806,f,0,786,2152,662,0.68,0.84,0,0
Frag,10949721,38729266,10950667,38730212,f,0,947,2564,794,0.68,0.84,0,0
Frag,10951993,38731529,10952333,38731869,f,0,341,1052,302,0.77,0.89,0,0
Frag,10928686,38707887,10929681,38708882,f,0,996,2792,847,0.70,0.85,0,0
Frag,10832814,38604866,10833141,38605193,f,0,328,1128,305,0.86,0.93,0,0
Frag,10827472,38597318,10828093,38597939,f,0,622,1920,551,0.77,0.89,0,0
Frag,10828175,38598018,10828631,38598474,f,0,457,1484,414,0.81,0.91,0,0
Frag,10828707,38598549,10828925,38598767,f,0,219,724,200,0.83,0.91,0,0
Frag,10756367,38518120,10756611,38518364,f,0,245,820,225,0.84,0.92,0,0
Frag,10773548,38535263,10773749,38535464,f,0,202,632,180,0.78,0.89,0,0
Frag,10773159,38534854,10773473,38535168,f,0,315,1100,295,0.87,0.94,0,0
Frag,10788523,38549988,10788776,38550241,f,0,254,936,244,0.92,0.96,0,0
Frag,10771786,38533117,10772050,38533381,f,0,265,932,249,0.88,0.94,0,0
Frag,2798726,30101924,2799124,30102322,f,0,399,1244,355,0.78,0.89,0,0
Frag,2788738,30089789,2789304,30090355,f,0,567,1828,512,0.81,0.90,0,0
Frag,2766397,30064668,2766724,30064995,f,0,328,880,274,0.67,0.84,0,0
Frag,2951783,30248828,2952002,30249047,f,0,220,640,190,0.73,0.86,0,0
Frag,2954277,30251202,2954536,30251461,f,0,260,848,236,0.82,0.91,0,0
Frag,2743742,30040187,2743961,30040406,f,0,220,648,191,0.74,0.87,0,0
Frag,3059248,30346690,3059490,30346932,f,0,243,756,216,0.78,0.89,0,0
Frag,3395651,30682384,3395928,30682661,f,0,278,952,258,0.86,0.93,0,0
Frag,3431756,30715097,3432018,30715359,f,0,263,732,223,0.70,0.85,0,0
Frag,3727208,30989354,3727498,30989644,f,0,291,852,252,0.73,0.87,0,0
Frag,3584025,30842120,3585884,30843979,f,0,1860,5048,1561,0.68,0.84,0,0
Frag,3718436,30972242,3718641,30972447,f,0,206,656,185,0.80,0.90,0,0
Frag,3714232,30967825,3714681,30968274,f,0,450,1512,414,0.84,0.92,0,0
Frag,3618064,30870069,3618307,30870312,f,0,244,776,219,0.80,0.90,0,0
Frag,3621285,30872769,3621709,30873193,f,0,425,1404,388,0.83,0.91,0,0
Frag,3755849,30997764,3756053,30997968,f,0,205,676,187,0.82,0.91,0,0
Frag,3883226,31103902,3883576,31104252,f,0,351,1028,304,0.73,0.87,0,0
Frag,3967310,31184597,3968140,31185427,f,0,831,2684,751,0.81,0.90,0,0
Frag,3973836,31190173,3974157,31190494,f,0,322,1120,301,0.87,0.93,0,0
Frag,4031339,31243391,4031592,31243644,f,0,254,760,222,0.75,0.87,0,0
Frag,4028890,31240749,4029317,31241176,f,0,428,1168,360,0.68,0.84,0,0
Frag,3993231,31204033,3993446,31204248,f,0,216,696,195,0.81,0.90,0,0
Frag,4197031,31397931,4197768,31398668,f,0,738,2384,667,0.81,0.90,0,0
Frag,4206987,31406855,4207232,31407100,f,0,246,896,235,0.91,0.96,0,0
Frag,13585679,39968165,13586128,39968614,f,0,450,1224,378,0.68,0.84,0,0
Frag,9768725,35555965,9769384,35556624,f,0,660,2192,604,0.83,0.92,0,0
