All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : alb_e3.fasta
SeqY filename        : alb_e4.fasta
SeqX name            : alb_e3
SeqY name            : alb_e4
SeqX length          : 1000000
SeqY length          : 1000000
Min.fragment.length  : 200
Min.Identity         : 40
Tot Hits (seeds)     : 34744326
Tot Hits (seeds) used: 34742971
Total fragments      : 84
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,30071,926160,30328,926417,f,0,258,760,224,0.74,0.87,0,0
Frag,29895,925983,30096,926184,f,0,202,536,168,0.66,0.83,0,0
Frag,427681,975487,427905,975711,f,0,225,740,205,0.82,0.91,0,0
Frag,428607,975487,428831,975711,f,0,225,716,202,0.80,0.90,0,0
Frag,21000,556883,21246,557129,f,0,247,668,207,0.68,0.84,0,0
Frag,427647,960151,427938,960442,f,0,292,944,264,0.81,0.90,0,0
Frag,428493,960071,428844,960422,f,0,352,1144,319,0.81,0.91,0,0
Frag,427647,954054,427920,954327,f,0,274,968,258,0.88,0.94,0,0
Frag,428493,953974,428855,954336,f,0,363,1252,338,0.86,0.93,0,0
Frag,470435,925816,470653,926034,f,0,219,708,198,0.81,0.90,0,0
Frag,427651,485083,427926,485358,f,0,276,952,257,0.86,0.93,0,0
Frag,428577,485083,428850,485356,f,0,274,1032,266,0.94,0.97,0,0
Frag,225225,186639,225467,186881,f,0,243,868,230,0.89,0.95,0,0
Frag,298145,186639,298387,186881,f,0,243,844,227,0.87,0.93,0,0
Frag,291236,168357,291517,168638,f,0,282,488,202,0.43,0.72,0,0
Frag,553307,424547,553570,424810,f,0,264,544,200,0.52,0.76,0,0
Frag,638756,439573,639042,439859,f,0,287,596,218,0.52,0.76,0,0
Frag,308127,107805,308382,108060,f,0,256,744,221,0.73,0.86,0,0
Frag,407539,186642,407779,186882,f,0,241,804,221,0.83,0.92,0,0
Frag,647786,424527,648094,424835,f,0,309,924,270,0.75,0.87,0,0
Frag,428448,126045,428755,126352,f,0,308,1104,292,0.90,0.95,0,0
Frag,442692,137157,442893,137358,f,0,202,616,178,0.76,0.88,0,0
Frag,427642,104344,427917,104619,f,0,276,984,261,0.89,0.95,0,0
Frag,428448,104224,428844,104620,f,0,397,1516,388,0.95,0.98,0,0
Frag,553361,187962,553563,188164,f,0,203,380,149,0.47,0.73,0,0
Frag,900492,493991,900712,494211,f,0,221,596,185,0.67,0.84,0,0
Frag,875822,439619,876055,439852,f,0,234,488,178,0.52,0.76,0,0
Frag,671566,207298,671776,207508,f,0,211,508,169,0.60,0.80,0,0
Frag,661064,186640,661282,186858,f,0,219,692,196,0.79,0.89,0,0
Frag,953971,274340,954179,274548,f,0,209,668,188,0.80,0.90,0,0
Frag,862145,99680,862403,99938,f,0,259,572,201,0.55,0.78,0,0
Frag,861550,98958,861750,99158,f,0,201,436,155,0.54,0.77,0,0
Frag,34786,45669,35024,45431,r,0,239,708,208,0.74,0.87,0,0
Frag,128,114228,359,113997,r,0,232,680,201,0.73,0.87,0,0
Frag,19549,114431,19775,114205,r,0,227,402,127,0.44,0.56,0,0
Frag,24631,114443,25077,113997,r,0,447,954,306,0.53,0.68,0,0
Frag,62891,122097,63206,121782,r,0,316,960,278,0.76,0.88,0,0
Frag,125211,168351,125442,168120,r,0,232,376,163,0.41,0.70,0,0
Frag,225225,104623,225580,104268,r,0,356,1328,344,0.93,0.97,0,0
Frag,225317,126352,225580,126089,r,0,264,960,252,0.91,0.95,0,0
Frag,298145,104623,298547,104221,r,0,403,1412,378,0.88,0.94,0,0
Frag,298237,126352,298552,126037,r,0,316,1056,290,0.84,0.92,0,0
Frag,407539,104620,407774,104385,r,0,236,832,222,0.88,0.94,0,0
Frag,141647,417636,141906,417377,r,0,260,488,191,0.47,0.73,0,0
Frag,96626,485194,96839,484981,r,0,214,632,186,0.74,0.87,0,0
Frag,427679,186881,427920,186640,r,0,242,824,224,0.85,0.93,0,0
Frag,428605,186881,428844,186642,r,0,240,872,229,0.91,0.95,0,0
Frag,295944,381192,296147,380989,r,0,204,536,169,0.66,0.83,0,0
Frag,570495,122716,570734,122477,r,0,240,616,197,0.64,0.82,0,0
Frag,570016,123213,570296,122933,r,0,281,732,232,0.65,0.83,0,0
Frag,225224,485354,225495,485083,r,0,272,992,260,0.91,0.96,0,0
Frag,661055,104631,661282,104404,r,0,228,712,203,0.78,0.89,0,0
Frag,298138,485360,298415,485083,r,0,278,976,261,0.88,0.94,0,0
Frag,447511,439766,447719,439558,r,0,209,492,166,0.59,0.79,0,0
Frag,407537,485352,407776,485113,r,0,240,840,225,0.88,0.94,0,0
Frag,553339,384194,553564,383969,r,0,226,424,166,0.47,0.73,0,0
Frag,536348,417996,536551,417793,r,0,204,608,178,0.75,0.87,0,0
Frag,647838,384194,648097,383935,r,0,260,632,209,0.61,0.80,0,0
Frag,931307,101410,931514,101203,r,0,208,472,163,0.57,0.78,0,0
Frag,671571,422048,671830,421789,r,0,260,552,199,0.53,0.77,0,0
Frag,553340,592333,553596,592077,r,0,257,452,185,0.44,0.72,0,0
Frag,661066,485350,661282,485134,r,0,217,700,196,0.81,0.90,0,0
Frag,471035,683069,471280,682824,r,0,246,680,208,0.69,0.85,0,0
Frag,225222,954331,225579,953974,r,0,358,1240,334,0.87,0.93,0,0
Frag,225225,960425,225579,960071,r,0,355,1180,325,0.83,0.92,0,0
